,FIPS,Unnamed: 0,Next Import Probability,Est Imports Month 1,Est Imports Month 2,Est Imports Month 3,Est Imports Month 4,Est Imports Month 5,Est Imports Month 6,Est Imports Month 7,Est Imports Month 8,Est Imports Month 9,Est Imports Month 10,Est Imports Month 11,Est Imports Month 12
0,1001,0.0,0.0001266559430736,0.019099178621541806,0.009780894330761505,0.010507852642304815,0.018041784782296694,0.024320061565623257,0.027888766118199,0.03337399733384256,0.03581922104203238,0.025377455404868375,0.019760049927944313,0.014340905717441557,0.012688727827933633
1,1003,1.0,0.0002315107308985,0.03491083556706622,0.01787821353191263,0.019206999579799322,0.03297805598617475,0.04445393632482093,0.050977068041170887,0.061003363350053255,0.06547291696242823,0.04638671590571241,0.0361188230918694,0.02621332630607055,0.023193358182253012
2,1005,2.0,0.0001049569943354,0.015827069253490016,0.008105212009454129,0.0087076263734006,0.014950830235385317,0.020153500120372578,0.023110807092472183,0.027656297557882976,0.029682600664245138,0.02102973913847728,0.016374718769803745,0.011883993152025698,0.010514869673237273
3,1007,3.0,0.0001028776198596,0.015513508408490416,0.007944634135820012,0.008535113658642481,0.014654629158169506,0.019754225407775355,0.02265294315793861,0.027108379816896414,0.02909453845278966,0.02061310465809627,0.016050308067363794,0.011648551272355086,0.010306552430986379
4,1009,4.0,9.637436142454154e-05,0.014532844639708142,0.007442425696047252,0.00799557891852602,0.013728258186372315,0.01850549090957756,0.021220970452195485,0.02539476319215731,0.02725536971166349,0.01931007736291339,0.015035711292410991,0.010912205122225087,0.009655038776951062
5,1011,5.0,0.0001004132896737,0.015141897876360782,0.007754328394459047,0.008330663572629755,0.01430359221692871,0.019281032753844504,0.022110314628042894,0.026459025771140017,0.028397607969251188,0.020119338413276577,0.015665839037876345,0.011369521911434371,0.010059669306134705
6,1013,6.0,9.719377383146778e-05,0.0146564085526585,0.0075057041018683135,0.008063560448774891,0.013844981191506912,0.01866283181045026,0.021401399419179186,0.025610679372799403,0.02748710549457278,0.01947425917160185,0.015163550773761114,0.011004984945944866,0.009737129682107222
7,1015,7.0,0.0001243181320051,0.018746646635302892,0.00960035891748843,0.010313899057362715,0.01770877013540375,0.023871162700437938,0.027373996226350766,0.03275798123168613,0.03515807108424121,0.024909039200337088,0.01939531960171859,0.014076201769841817,0.012454519723351527
8,1017,8.0,9.639590666785332e-05,0.014536093570950296,0.007444089508601556,0.007997366392815572,0.013731327246011211,0.018509627957007575,0.021225714566345207,0.02540044039036369,0.02726146286302979,0.019314394281946663,0.015039072643431869,0.010914644631145833,0.009657197236489046
9,1019,9.0,9.247746033347596e-05,0.013945208495658489,0.007141490920590305,0.007672277370782943,0.013173155527178133,0.01775722065750746,0.020362899678119543,0.02436792494463903,0.02615329776641965,0.018529273625987813,0.014427741715500021,0.010470969679331643,0.009264636904626956
10,1021,10.0,0.0001001441808818,0.015101317412780492,0.007733546703579186,0.008308337296725032,0.014265258422330044,0.01922935936033422,0.02205105872598634,0.02638811527230803,0.02832150204743259,0.020065418350784667,0.015623854405849227,0.011339051459604647,0.010032709274622098
11,1023,11.0,9.603077952695418e-05,0.014481033947892945,0.00741589288477355,0.007967074074119994,0.01367931590620026,0.01843951743293381,0.02114531608531992,0.025304228938053074,0.027158202254400382,0.0192412354746265,0.014982107842893277,0.010873302284506238,0.009620617832467171
12,1025,12.0,0.0001018048239014,0.015351735331500077,0.007861788407060763,0.008446110477500993,0.014501812374973515,0.019548230622867282,0.02241672087855135,0.02682569675773733,0.028791143960377765,0.020398153579393844,0.015882937305423235,0.011527081522754326,0.010199076890572166
13,1027,13.0,9.467321124523033e-05,0.014276318413237643,0.007311055862616458,0.007854445111672242,0.013485934102143096,0.01817884159420214,0.02084638890212031,0.024946508020145315,0.02677427207960818,0.01896922590529669,0.014770308724932676,0.010719588544268422,0.009484613046457094
14,1029,14.0,8.967949349778981e-05,0.013523286972869255,0.006925420381011136,0.0074401475354671145,0.012774592978493633,0.017219964181015728,0.019746806656400193,0.02363065722984963,0.02536201241396304,0.017968658175391353,0.013991220830429809,0.010154163553875797,0.008984329176556307
15,1031,15.0,0.0001186332554796,0.017889391384841885,0.009161349304279592,0.00984226035356388,0.016898975377273837,0.022779571230365468,0.02612222557917017,0.03126000925026075,0.033550346693880656,0.023769987237933516,0.01850840153650943,0.0134325187630356,0.011884993736516773
16,1033,16.0,0.0001059744501453,0.015980497271009204,0.008183784143705013,0.008792038328031685,0.015095763969265028,0.02034886867029281,0.023334843852448103,0.027924398419657562,0.029970344560590608,0.02123360197203699,0.01653345571585781,0.01199919688812642,0.010616801091025294
17,1035,17.0,9.648853851240542e-05,0.014550062059930835,0.007451242921708284,0.008005051478480858,0.013744522393138456,0.018527414822019788,0.0212461114603647,0.025424848995740493,0.027287659821775063,0.019332954488812167,0.01505352447118545,0.010925133081327618,0.009666477340013585
18,1037,18.0,9.51566668361536e-05,0.014349221464310905,0.0073483902974142675,0.007894554402916224,0.013554800998646858,0.018271673161755715,0.02095284249266331,0.025073899165092447,0.026910996833733807,0.019066093627419768,0.014845734373210675,0.010774328897383726,0.009533046907997673
19,1039,19.0,0.0001038166324466,0.01565510752095028,0.008017148560850703,0.008613017668940142,0.01478838887438493,0.01993453154558892,0.02285970726063587,0.02735581079261282,0.029360098035694178,0.020801250192154272,0.016196806803639486,0.011754873097062774,0.010400625198945818
